timestamp,tx_id,amount,country,product_id,status,latency_ms
2025-12-04 16:02:00,100001,36.94,IN,103,success,177
2025-12-04 16:02:00,100002,84.44,DE,102,success,131
2025-12-04 16:03:00,100003,56.41,IN,106,success,116
2025-12-04 16:03:00,100004,35.59,UK,117,success,207
2025-12-04 16:03:00,100005,31.87,UK,117,success,199
2025-12-04 16:03:00,100006,56.15,IN,108,success,81
2025-12-04 16:05:00,100007,86.8,IN,104,success,102
2025-12-04 16:06:00,100008,115.29,IN,102,success,93
2025-12-04 16:07:00,100009,20.64,DE,119,success,143
2025-12-04 16:07:00,100010,39.1,IN,114,success,97
2025-12-04 16:07:00,100011,68.99,US,112,success,177
2025-12-04 16:09:00,100012,42.25,UK,128,success,176
2025-12-04 16:09:00,100013,104.79,IN,122,success,95
2025-12-04 16:09:00,100014,17.65,UK,124,success,200
2025-12-04 16:09:00,100015,41.83,IN,107,success,165
2025-12-04 16:11:00,100016,40.58,UK,111,success,244
2025-12-04 16:11:00,100017,27.89,IN,121,success,157
2025-12-04 16:11:00,100018,39.37,US,120,success,84
2025-12-04 16:13:00,100019,79.85,IN,107,success,123
2025-12-04 16:13:00,100020,27.97,IN,129,success,131
2025-12-04 16:13:00,100021,80.4,IN,121,success,99
2025-12-04 16:13:00,100022,45.67,DE,101,success,208
2025-12-04 16:14:00,100023,100.4,DE,112,success,143
2025-12-04 16:15:00,100024,17.28,US,118,success,191
2025-12-04 16:15:00,100025,106.4,IN,120,success,169
2025-12-04 16:16:00,100026,53.52,US,114,success,188
2025-12-04 16:16:00,100027,25.72,IN,123,success,50
2025-12-04 16:16:00,100028,71.75,IN,118,success,121
2025-12-04 16:17:00,100029,108.76,IN,107,success,232
2025-12-04 16:17:00,100030,119.71,IN,115,success,125
2025-12-04 16:17:00,100031,20.0,IN,103,success,118
2025-12-04 16:18:00,100032,79.02,DE,113,success,102
2025-12-04 16:19:00,100033,16.99,IN,114,success,117
2025-12-04 16:19:00,100034,68.2,US,127,success,188
2025-12-04 16:19:00,100035,113.67,UK,103,success,188
2025-12-04 16:19:00,100036,84.99,IN,108,success,176
2025-12-04 16:20:00,100037,22.27,IN,114,success,154
2025-12-04 16:20:00,100038,10.36,UK,123,success,161
2025-12-04 16:21:00,100039,116.91,DE,116,success,166
2025-12-04 16:21:00,100040,110.39,DE,109,success,172
2025-12-04 16:22:00,100041,76.99,IN,124,success,182
2025-12-04 16:22:00,100042,27.77,US,129,success,160
2025-12-04 16:22:00,100043,68.34,IN,110,success,166
2025-12-04 16:22:00,100044,63.75,IN,111,success,151
2025-12-04 16:23:00,100045,36.34,IN,118,success,126
2025-12-04 16:23:00,100046,114.16,IN,115,success,158
